OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
155,25.9990234375,116.95996093749997,26.0
156,25.999023437500004,116.96191406250003,43.0
157,25.999023437500004,116.96386718750003,60.0
158,25.9990234375,116.9658203125,77.5
159,25.9990234375,116.96777343750006,94.5
160,25.9990234375,116.96972656249997,108.5
161,25.9990234375,116.9716796875,128.5
162,25.9990234375,116.97363281250003,147.5
163,25.9990234375,116.97558593750003,164.0
164,25.999023437500004,116.9775390625,176.5
165,25.9990234375,116.9794921875,188.0
166,25.9990234375,116.98144531250003,200.0
167,25.9990234375,116.98339843750003,211.5
168,25.997070312499996,116.6591796875,86.5
169,25.997070312499996,116.6611328125,90.0
170,25.997070312499996,116.66308593750003,93.5
171,25.997070312499996,116.66503906249997,97.5
172,25.997070312499996,116.6669921875,101.0
173,25.997070312499996,116.66894531250003,104.0
174,25.997070312499996,116.67089843750003,102.0
175,25.997070312499996,116.67285156249997,100.0
176,25.997070312499996,116.67480468749997,100.0
177,25.997070312499996,116.6767578125,102.5
178,25.997070312499996,116.6787109375,106.0
179,25.997070312499996,116.68066406249997,110.0
180,25.997070312499996,116.6826171875,113.5
181,25.997070312499996,116.6845703125,114.0
182,25.997070312499996,116.6865234375,116.0
183,25.997070312499996,116.68847656250003,119.0
184,25.997070312499996,116.69042968750003,119.5
185,25.997070312499996,116.6923828125,123.5
186,25.997070312499996,116.69433593749997,124.5
187,25.997070312499996,116.69628906250003,128.0
188,25.997070312499996,116.6982421875,131.0
189,25.997070312499996,116.70019531249997,133.0
190,25.997070312499996,116.7021484375,137.0
191,25.997070312499996,116.7041015625,137.0
192,25.997070312499996,116.7060546875,135.0
193,25.997070312499996,116.70800781250003,128.0
194,25.997070312499996,116.7099609375,126.5
195,25.997070312499996,116.71191406250003,131.5
